cell_id,sample_id,event_index,component_1,component_2,n_test_models,positive_count,negative_count,positive_frequency,negative_frequency
gated_alive:a_004:133688,a_004,133688,-32.950050354003906,35.85580062866211,13,0,0,0.0,0.0
gated_alive:a_004:133709,a_004,133709,-9.493742942810059,40.346229553222656,13,0,0,0.0,0.0
gated_alive:a_004:134241,a_004,134241,-5.896031379699707,-32.87275695800781,13,0,0,0.0,0.0
gated_alive:a_004:134704,a_004,134704,-16.97244644165039,-0.6253888010978699,13,0,0,0.0,0.0
gated_alive:a_004:135178,a_004,135178,-34.78672409057617,-14.91422176361084,13,0,0,0.0,0.0
gated_alive:a_004:135336,a_004,135336,-16.02401351928711,31.699739456176758,13,0,0,0.0,0.0
gated_alive:a_004:135557,a_004,135557,-35.71015548706055,55.498199462890625,13,0,0,0.0,0.0
gated_alive:a_004:136021,a_004,136021,-19.315635681152344,21.989139556884766,13,0,0,0.0,0.0
gated_alive:a_004:136166,a_004,136166,17.057958602905273,32.12224197387695,13,0,0,0.0,0.0
gated_alive:a_004:136248,a_004,136248,-19.76474952697754,-12.349632263183594,13,0,0,0.0,0.0
gated_alive:a_004:136740,a_004,136740,-35.82334899902344,33.101871490478516,13,0,0,0.0,0.0
gated_alive:a_004:137524,a_004,137524,-34.361572265625,35.18818664550781,13,0,0,0.0,0.0
gated_alive:a_004:137587,a_004,137587,3.267442464828491,-41.70718765258789,13,0,0,0.0,0.0
gated_alive:a_004:138662,a_004,138662,13.204957008361816,44.439998626708984,13,0,0,0.0,0.0
gated_alive:a_004:139218,a_004,139218,38.240394592285156,-23.7127628326416,13,0,0,0.0,0.0
gated_alive:a_004:139287,a_004,139287,-12.405244827270508,3.272531270980835,13,0,0,0.0,0.0
gated_alive:a_004:139382,a_004,139382,40.746795654296875,-25.372840881347656,13,0,0,0.0,0.0
gated_alive:a_004:139768,a_004,139768,-27.62380027770996,13.650978088378906,13,0,0,0.0,0.0
gated_alive:a_004:139915,a_004,139915,-37.62467956542969,-36.59804153442383,13,0,0,0.0,0.0
gated_alive:a_004:140207,a_004,140207,48.010799407958984,-32.260318756103516,13,2,5,0.15384615384615385,0.38461538461538464
gated_alive:a_004:140266,a_004,140266,-36.98601531982422,36.0079460144043,13,0,0,0.0,0.0
gated_alive:a_004:140312,a_004,140312,12.155701637268066,58.39336395263672,13,0,0,0.0,0.0
gated_alive:a_005:472,a_005,472,7.21058464050293,-10.959705352783203,4,0,0,0.0,0.0
gated_alive:a_005:1095,a_005,1095,8.880680084228516,-37.802547454833984,4,0,0,0.0,0.0
gated_alive:a_005:1812,a_005,1812,-12.014220237731934,59.44496154785156,4,0,0,0.0,0.0
gated_alive:a_005:2228,a_005,2228,14.34952163696289,15.332263946533203,4,0,0,0.0,0.0
gated_alive:a_005:2350,a_005,2350,24.184844970703125,57.553070068359375,4,0,0,0.0,0.0
gated_alive:a_005:2523,a_005,2523,7.148879528045654,45.959747314453125,4,0,0,0.0,0.0
gated_alive:a_005:2542,a_005,2542,-7.215460777282715,6.848939895629883,4,0,0,0.0,0.0
gated_alive:a_005:2762,a_005,2762,8.79098892211914,-42.92836380004883,4,0,0,0.0,0.0
gated_alive:a_005:3087,a_005,3087,8.609527587890625,-32.627803802490234,4,0,0,0.0,0.0
gated_alive:a_005:3273,a_005,3273,-3.35894775390625,32.39565658569336,4,0,0,0.0,0.0
gated_alive:a_005:4533,a_005,4533,14.294867515563965,50.682151794433594,4,0,0,0.0,0.0
gated_alive:a_005:4680,a_005,4680,21.65751838684082,-21.380640029907227,4,0,0,0.0,0.0
gated_alive:a_005:4741,a_005,4741,33.702735900878906,-0.17379790544509888,4,0,0,0.0,0.0
gated_alive:a_005:4995,a_005,4995,-31.548309326171875,-11.48598575592041,4,0,0,0.0,0.0
gated_alive:a_005:5478,a_005,5478,-36.85036087036133,-19.522113800048828,4,0,0,0.0,0.0
gated_alive:a_005:6031,a_005,6031,14.797096252441406,40.91959762573242,4,0,0,0.0,0.0
gated_alive:a_005:6092,a_005,6092,-9.855029106140137,56.227073669433594,4,0,0,0.0,0.0
gated_alive:a_005:6510,a_005,6510,14.39957332611084,-39.77348327636719,4,0,0,0.0,0.0
gated_alive:a_005:6637,a_005,6637,16.818511962890625,-44.1650276184082,4,0,0,0.0,0.0
gated_alive:a_005:6675,a_005,6675,47.93709945678711,-6.24501371383667,4,0,0,0.0,0.0
gated_alive:a_005:6848,a_005,6848,9.120471000671387,-31.28230094909668,4,0,0,0.0,0.0
gated_alive:a_005:7225,a_005,7225,-45.66127014160156,21.60120964050293,4,0,0,0.0,0.0
gated_alive:a_005:7762,a_005,7762,-40.354530334472656,39.454463958740234,4,0,0,0.0,0.0
gated_alive:a_005:8544,a_005,8544,0.40790361166000366,26.678668975830078,4,0,0,0.0,0.0
gated_alive:a_005:8602,a_005,8602,-8.230792045593262,27.029638290405273,4,0,0,0.0,0.0
gated_alive:a_005:8857,a_005,8857,52.19954299926758,-8.522246360778809,4,0,0,0.0,0.0
gated_alive:a_005:10294,a_005,10294,-15.805946350097656,-14.846077919006348,4,0,0,0.0,0.0
gated_alive:a_005:10500,a_005,10500,8.984505653381348,-52.21149826049805,4,0,0,0.0,0.0
gated_alive:a_005:10585,a_005,10585,0.41777101159095764,31.084972381591797,4,0,0,0.0,0.0
gated_alive:a_005:10976,a_005,10976,35.638145446777344,-18.080753326416016,4,0,0,0.0,0.0
gated_alive:a_005:11714,a_005,11714,68.76371765136719,-24.306238174438477,4,0,0,0.0,0.0
gated_alive:a_005:11879,a_005,11879,6.932919502258301,-34.18684005737305,4,0,0,0.0,0.0
gated_alive:a_005:11957,a_005,11957,11.24199104309082,-43.02141189575195,4,0,0,0.0,0.0
gated_alive:a_005:12110,a_005,12110,18.240169525146484,-47.2371940612793,4,0,0,0.0,0.0
gated_alive:a_005:12511,a_005,12511,-33.994842529296875,-13.948657035827637,4,0,0,0.0,0.0
gated_alive:a_005:13153,a_005,13153,11.579883575439453,-50.803321838378906,4,0,0,0.0,0.0
gated_alive:a_005:13196,a_005,13196,26.90860366821289,46.28083038330078,4,0,0,0.0,0.0
gated_alive:a_005:13555,a_005,13555,0.20814299583435059,-54.29142379760742,4,0,0,0.0,0.0
gated_alive:a_005:14583,a_005,14583,-1.563046932220459,35.40009689331055,4,0,0,0.0,0.0
gated_alive:a_005:14923,a_005,14923,10.146859169006348,-39.781009674072266,4,0,0,0.0,0.0
gated_alive:a_005:14939,a_005,14939,52.7794075012207,-16.249893188476562,4,0,0,0.0,0.0
gated_alive:a_005:15417,a_005,15417,58.59245681762695,-5.145176410675049,4,0,0,0.0,0.0
gated_alive:a_005:15468,a_005,15468,8.023311614990234,37.695369720458984,4,0,0,0.0,0.0
gated_alive:a_005:15819,a_005,15819,19.45922088623047,-39.81330490112305,4,0,0,0.0,0.0
gated_alive:a_005:15963,a_005,15963,37.45102310180664,-8.922013282775879,4,0,0,0.0,0.0
gated_alive:a_005:16270,a_005,16270,23.397714614868164,-20.3710880279541,4,0,0,0.0,0.0
gated_alive:a_005:16390,a_005,16390,26.589008331298828,49.48688507080078,4,0,0,0.0,0.0
gated_alive:a_005:16655,a_005,16655,51.987918853759766,-16.678003311157227,4,0,0,0.0,0.0
gated_alive:a_005:16763,a_005,16763,10.091712951660156,59.18032455444336,4,0,0,0.0,0.0
gated_alive:a_005:16941,a_005,16941,9.05508804321289,-34.299015045166016,4,0,0,0.0,0.0
