cell_id,sample_id,event_index
gated_alive:a_002:23585,a_002,23585
gated_alive:a_002:23633,a_002,23633
gated_alive:a_002:23663,a_002,23663
gated_alive:a_002:23691,a_002,23691
gated_alive:a_002:23908,a_002,23908
gated_alive:a_002:24170,a_002,24170
gated_alive:a_002:24218,a_002,24218
gated_alive:a_002:24253,a_002,24253
gated_alive:a_002:24895,a_002,24895
gated_alive:a_002:25139,a_002,25139
gated_alive:a_002:25627,a_002,25627
gated_alive:a_002:26135,a_002,26135
gated_alive:a_002:26483,a_002,26483
gated_alive:a_002:26698,a_002,26698
gated_alive:a_002:27056,a_002,27056
gated_alive:a_002:27954,a_002,27954
gated_alive:a_002:28421,a_002,28421
gated_alive:a_002:28469,a_002,28469
gated_alive:a_002:28658,a_002,28658
gated_alive:a_002:28801,a_002,28801
gated_alive:a_002:28836,a_002,28836
gated_alive:a_002:28857,a_002,28857
gated_alive:a_002:28971,a_002,28971
gated_alive:a_002:29275,a_002,29275
gated_alive:a_002:29512,a_002,29512
gated_alive:a_002:29807,a_002,29807
gated_alive:a_002:30024,a_002,30024
gated_alive:a_002:30028,a_002,30028
gated_alive:a_002:30034,a_002,30034
gated_alive:a_002:30054,a_002,30054
gated_alive:a_002:30371,a_002,30371
gated_alive:a_002:30390,a_002,30390
gated_alive:a_002:30486,a_002,30486
gated_alive:a_002:30515,a_002,30515
gated_alive:a_002:30592,a_002,30592
gated_alive:a_002:30695,a_002,30695
gated_alive:a_002:30731,a_002,30731
gated_alive:a_002:30779,a_002,30779
gated_alive:a_002:31151,a_002,31151
gated_alive:a_002:31290,a_002,31290
gated_alive:a_002:32184,a_002,32184
gated_alive:a_002:32350,a_002,32350
gated_alive:a_002:32362,a_002,32362
gated_alive:a_002:32573,a_002,32573
gated_alive:a_002:32755,a_002,32755
gated_alive:a_002:32781,a_002,32781
gated_alive:a_002:32885,a_002,32885
gated_alive:a_002:33075,a_002,33075
gated_alive:a_002:33302,a_002,33302
gated_alive:a_002:33911,a_002,33911
gated_alive:a_002:34051,a_002,34051
gated_alive:a_002:34569,a_002,34569
gated_alive:a_002:34735,a_002,34735
gated_alive:a_002:34855,a_002,34855
gated_alive:a_002:34971,a_002,34971
gated_alive:a_002:35048,a_002,35048
gated_alive:a_002:35352,a_002,35352
gated_alive:a_002:35618,a_002,35618
gated_alive:a_002:35705,a_002,35705
gated_alive:a_002:35713,a_002,35713
gated_alive:a_002:36352,a_002,36352
gated_alive:a_002:36601,a_002,36601
gated_alive:a_002:36819,a_002,36819
gated_alive:a_002:36859,a_002,36859
gated_alive:a_002:37392,a_002,37392
gated_alive:a_002:37531,a_002,37531
gated_alive:a_002:37634,a_002,37634
gated_alive:a_002:37682,a_002,37682
gated_alive:a_002:38097,a_002,38097
gated_alive:a_002:38640,a_002,38640
gated_alive:a_002:38714,a_002,38714
gated_alive:a_002:38785,a_002,38785
gated_alive:a_002:39003,a_002,39003
gated_alive:a_002:39118,a_002,39118
gated_alive:a_002:39178,a_002,39178
gated_alive:a_002:39410,a_002,39410
