split_id,C,inner_fold,validation_roc_auc,gate,run_mode,selected
57,0.01,2,1.0,gated_alive,full,True
57,0.1,0,0.16666666666666666,gated_alive,full,False
57,0.1,1,1.0,gated_alive,full,False
57,0.1,2,1.0,gated_alive,full,False
57,1.0,0,0.16666666666666666,gated_alive,full,False
57,1.0,1,1.0,gated_alive,full,False
57,1.0,2,1.0,gated_alive,full,False
58,0.01,0,0.3333333333333333,gated_alive,full,True
58,0.01,1,0.16666666666666669,gated_alive,full,True
58,0.01,2,0.75,gated_alive,full,True
58,0.1,0,0.3333333333333333,gated_alive,full,False
58,0.1,1,0.16666666666666669,gated_alive,full,False
58,0.1,2,0.75,gated_alive,full,False
58,1.0,0,0.3333333333333333,gated_alive,full,False
58,1.0,1,0.16666666666666669,gated_alive,full,False
58,1.0,2,0.75,gated_alive,full,False
59,0.01,0,0.6666666666666666,gated_alive,full,True
59,0.01,1,1.0,gated_alive,full,True
59,0.01,2,1.0,gated_alive,full,True
59,0.1,0,0.6666666666666666,gated_alive,full,False
59,0.1,1,1.0,gated_alive,full,False
59,0.1,2,1.0,gated_alive,full,False
59,1.0,0,0.6666666666666666,gated_alive,full,False
59,1.0,1,1.0,gated_alive,full,False
59,1.0,2,1.0,gated_alive,full,False
60,0.01,0,0.5,gated_alive,full,True
60,0.01,1,0.5,gated_alive,full,True
60,0.01,2,0.5,gated_alive,full,True
60,0.1,0,0.5,gated_alive,full,False
60,0.1,1,0.5,gated_alive,full,False
60,0.1,2,0.5,gated_alive,full,False
60,1.0,0,0.5,gated_alive,full,False
60,1.0,1,0.5,gated_alive,full,False
60,1.0,2,0.5,gated_alive,full,False
61,0.01,0,1.0,gated_alive,full,True
61,0.01,1,1.0,gated_alive,full,True
61,0.01,2,0.75,gated_alive,full,True
61,0.1,0,1.0,gated_alive,full,False
61,0.1,1,1.0,gated_alive,full,False
61,0.1,2,0.75,gated_alive,full,False
61,1.0,0,1.0,gated_alive,full,False
61,1.0,1,1.0,gated_alive,full,False
61,1.0,2,0.75,gated_alive,full,False
62,0.01,0,0.6666666666666666,gated_alive,full,True
62,0.01,1,0.6666666666666667,gated_alive,full,True
62,0.01,2,0.75,gated_alive,full,True
62,0.1,0,0.6666666666666666,gated_alive,full,False
62,0.1,1,0.6666666666666667,gated_alive,full,False
62,0.1,2,0.75,gated_alive,full,False
62,1.0,0,0.6666666666666666,gated_alive,full,False
62,1.0,1,0.6666666666666667,gated_alive,full,False
62,1.0,2,0.75,gated_alive,full,False
63,0.01,0,0.6666666666666666,gated_alive,full,True
63,0.01,1,1.0,gated_alive,full,True
63,0.01,2,1.0,gated_alive,full,True
63,0.1,0,0.6666666666666666,gated_alive,full,False
63,0.1,1,1.0,gated_alive,full,False
63,0.1,2,1.0,gated_alive,full,False
63,1.0,0,0.6666666666666666,gated_alive,full,False
63,1.0,1,1.0,gated_alive,full,False
63,1.0,2,1.0,gated_alive,full,False
64,0.01,0,0.8333333333333333,gated_alive,full,True
64,0.01,1,0.33333333333333337,gated_alive,full,True
64,0.01,2,0.75,gated_alive,full,True
