split_id,filter_id,training_maximum,response_threshold,contrast,training_donors
13,1,15.864762306213379,7.9323811531066895,1.3791368007659912,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
13,2,15.640085220336914,7.820042610168457,1.435288429260254,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
13,3,28.24410629272461,14.122053146362305,-1.6227446794509888,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
13,4,14.281095504760742,7.140547752380371,1.3542728424072266,a_001;a_003;a_005;a_007;a_010;a_011;a_012;a_2a;a_2b;a_4a
14,0,9.587674140930176,4.793837070465088,0.7885576486587524,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b
14,1,1.9080983400344849,0.9540491700172424,0.02305065095424652,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b
14,2,8.023313522338867,4.011656761169434,0.34506848454475403,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b
14,3,16.94985580444336,8.47492790222168,-0.7311265468597412,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b
14,4,7.897718906402588,3.948859453201294,0.49614840745925903,a_001;a_003;a_006;a_007;a_009;a_011;a_1a;a_4b;a_5b
15,0,32.49687957763672,16.24843978881836,-1.460798740386963,a_001;a_004;a_006;a_007;a_010;a_2b;a_3b;a_4a;a_5a
15,1,20.3973331451416,10.1986665725708,0.8065329194068909,a_001;a_004;a_006;a_007;a_010;a_2b;a_3b;a_4a;a_5a
15,2,24.456512451171875,12.228256225585938,1.0258419513702393,a_001;a_004;a_006;a_007;a_010;a_2b;a_3b;a_4a;a_5a
16,0,7.434605598449707,3.7173027992248535,0.33477234840393066,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b
16,1,12.118985176086426,6.059492588043213,-0.2505725920200348,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b
16,2,12.752517700195312,6.376258850097656,-0.660555362701416,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b
16,3,10.60498046875,5.302490234375,-1.1544947624206543,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b
16,4,14.758136749267578,7.379068374633789,0.9893779754638672,a_001;a_009;a_011;a_1a;a_3a;a_3b;a_4a;a_4b;a_5b
17,0,4.912956237792969,2.4564781188964844,-0.6195909380912781,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a
17,1,5.7118988037109375,2.8559494018554688,-0.3273072838783264,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a
17,2,3.359438896179199,1.6797194480895996,-0.5001715421676636,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a
17,3,5.428255558013916,2.714127779006958,0.793928861618042,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a
17,4,6.10847282409668,3.05423641204834,0.16033726930618286,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a
18,0,13.824379920959473,6.912189960479736,1.2433314323425293,a_001;a_002;a_009;a_011;a_2a;a_2b;a_3b;a_4b;a_5a;a_5b
18,1,17.592668533325195,8.796334266662598,-0.9029635190963745,a_001;a_002;a_009;a_011;a_2a;a_2b;a_3b;a_4b;a_5a;a_5b
18,2,17.51076316833496,8.75538158416748,1.219038486480713,a_001;a_002;a_009;a_011;a_2a;a_2b;a_3b;a_4b;a_5a;a_5b
18,3,16.12942123413086,8.06471061706543,-1.260451316833496,a_001;a_002;a_009;a_011;a_2a;a_2b;a_3b;a_4b;a_5a;a_5b
19,0,5.5317463874816895,2.7658731937408447,-0.25391826033592224,a_001;a_002;a_007;a_009;a_010;a_012;a_1a;a_3a;a_5b
19,1,6.53592586517334,3.26796293258667,0.2285788655281067,a_001;a_002;a_007;a_009;a_010;a_012;a_1a;a_3a;a_5b
19,2,15.408207893371582,7.704103946685791,-1.0693167448043823,a_001;a_002;a_007;a_009;a_010;a_012;a_1a;a_3a;a_5b
19,3,6.165841579437256,3.082920789718628,0.10318616032600403,a_001;a_002;a_007;a_009;a_010;a_012;a_1a;a_3a;a_5b
19,4,17.528148651123047,8.764074325561523,0.6050568222999573,a_001;a_002;a_007;a_009;a_010;a_012;a_1a;a_3a;a_5b
20,0,28.45802879333496,14.22901439666748,1.227618932723999,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b
