split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_learnable,frequency_auc_learnable,frequency_effect_learnable,phenotype_status_learnable,network_auc_hard,frequency_auc_hard,frequency_effect_hard,phenotype_status_hard,network_auc_delta,network_auc_delta_vs_baseline
43,0.875,1.0,0.011537500000000001,berechnet,1.0,0.75,0.0081625,berechnet,1.0,0.75,0.008175,berechnet,0.0,0.125
44,0.5,,,kein positiver Output-Kontrast,1.0,1.0,0.0121875,berechnet,1.0,1.0,0.0120625,berechnet,0.0,0.5
45,1.0,1.0,0.01605,berechnet,1.0,1.0,0.0127625,berechnet,1.0,1.0,0.0128874999999999,berechnet,0.0,0.0
46,1.0,0.875,0.0011625,berechnet,0.875,0.8125,0.0001,berechnet,0.875,0.8125,7.500000000000002e-05,berechnet,0.0,-0.125
47,0.75,0.875,0.0050625,berechnet,0.875,1.0,0.006762499999999999,berechnet,0.875,1.0,0.0077124999999999,berechnet,0.0,0.125
48,0.75,0.875,0.0123,berechnet,1.0,0.875,0.0046500000000000005,berechnet,1.0,0.8125,0.0044875,berechnet,0.0,0.25
49,0.625,0.625,0.001,berechnet,0.75,0.6875,0.001625,berechnet,0.75,0.6875,0.0014375,berechnet,0.0,0.125
50,0.75,0.75,0.0051375,berechnet,0.75,0.6875,0.0010249999999999999,berechnet,0.75,0.6875,0.001075,berechnet,0.0,0.0
51,1.0,1.0,0.0102125,berechnet,1.0,1.0,0.0135625,berechnet,1.0,1.0,0.0133625,berechnet,0.0,0.0
52,1.0,1.0,0.0033499999999999997,berechnet,1.0,0.9375,0.0021125,berechnet,1.0,0.625,0.00015,berechnet,0.0,0.0
53,1.0,1.0,0.0124,berechnet,1.0,0.875,0.0077624999999999994,berechnet,1.0,0.875,0.0078999999999999,berechnet,0.0,0.0
54,0.25,0.5,-0.00039999999999999996,berechnet,0.875,0.5625,0.000375,berechnet,0.875,0.75,0.000125,berechnet,0.0,0.625
