split_id,donor_id,y_true,filter_id,alpha,rho,halfmax_threshold,frequency,n_selected_cells,training_donors,pooled_response,n_cells
17,a_007,1,3,0.02088870480656624,1.2894610166549683,0.5517253875732422,0.0014,28,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a,0.30049556493759155,20000
17,a_009,0,3,0.02088870480656624,1.2894610166549683,0.5517253875732422,0.00165,33,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a,0.30632928013801575,20000
17,a_011,0,3,0.02088870480656624,1.2894610166549683,0.5517253875732422,0.0008,16,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a,0.22245559096336365,20000
17,a_2a,0,3,0.02088870480656624,1.2894610166549683,0.5517253875732422,0.003,60,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a,0.38115912675857544,20000
17,a_4a,1,3,0.02088870480656624,1.2894610166549683,0.5517253875732422,0.01955,391,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3a;a_4b;a_5a,0.6681079268455505,20000
18,a_003,0,0,0.007273687981069088,1.955735683441162,0.731717586517334,0.00045,9,a_006;a_007;a_009;a_010;a_011;a_012;a_2b;a_5a;a_5b,0.38164860010147095,20000
18,a_004,0,0,0.007273687981069088,1.955735683441162,0.731717586517334,0.0,0,a_006;a_007;a_009;a_010;a_011;a_012;a_2b;a_5a;a_5b,0.04325026273727417,20000
18,a_005,1,0,0.007273687981069088,1.955735683441162,0.731717586517334,0.0004,8,a_006;a_007;a_009;a_010;a_011;a_012;a_2b;a_5a;a_5b,0.3322673738002777,20000
18,a_1a,0,0,0.007273687981069088,1.955735683441162,0.731717586517334,0.00025,5,a_006;a_007;a_009;a_010;a_011;a_012;a_2b;a_5a;a_5b,0.24770644307136536,20000
18,a_3a,0,0,0.007273687981069088,1.955735683441162,0.731717586517334,5e-05,1,a_006;a_007;a_009;a_010;a_011;a_012;a_2b;a_5a;a_5b,0.11966077238321304,20000
18,a_4a,1,0,0.007273687981069088,1.955735683441162,0.731717586517334,0.00175,35,a_006;a_007;a_009;a_010;a_011;a_012;a_2b;a_5a;a_5b,0.5603502988815308,20000
19,a_003,0,2,0.01599632203578949,0.5674830079078674,0.23024408519268036,0.00015,3,a_002;a_004;a_007;a_009;a_011;a_012;a_1a;a_3b;a_4a;a_5a,0.013572563417255878,20000
19,a_005,1,2,0.01599632203578949,0.5674830079078674,0.23024408519268036,0.0021,42,a_002;a_004;a_007;a_009;a_011;a_012;a_1a;a_3b;a_4a;a_5a,0.10212299227714539,20000
19,a_006,0,2,0.01599632203578949,0.5674830079078674,0.23024408519268036,0.0145,290,a_002;a_004;a_007;a_009;a_011;a_012;a_1a;a_3b;a_4a;a_5a,0.2761918306350708,20000
19,a_2a,0,2,0.01599632203578949,0.5674830079078674,0.23024408519268036,0.00035,7,a_002;a_004;a_007;a_009;a_011;a_012;a_1a;a_3b;a_4a;a_5a,0.026902029290795326,20000
19,a_2b,0,2,0.01599632203578949,0.5674830079078674,0.23024408519268036,0.0029,58,a_002;a_004;a_007;a_009;a_011;a_012;a_1a;a_3b;a_4a;a_5a,0.13698920607566833,20000
19,a_4b,1,2,0.01599632203578949,0.5674830079078674,0.23024408519268036,0.0,0,a_002;a_004;a_007;a_009;a_011;a_012;a_1a;a_3b;a_4a;a_5a,0.007016108371317387,20000
20,a_002,1,1,0.02542068064212799,1.6076403856277466,0.6922124624252319,0.00895,179,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b,0.6663181781768799,20000
20,a_003,0,1,0.02542068064212799,1.6076403856277466,0.6922124624252319,0.0059,118,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b,0.5885138511657715,20000
20,a_009,0,1,0.02542068064212799,1.6076403856277466,0.6922124624252319,0.01565,313,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b,0.7491369247436523,20000
20,a_011,0,1,0.02542068064212799,1.6076403856277466,0.6922124624252319,0.0028,56,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b,0.423104852437973,20000
20,a_012,1,1,0.02542068064212799,1.6076403856277466,0.6922124624252319,0.00705,141,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b,0.6144388914108276,20000
20,a_2b,0,1,0.02542068064212799,1.6076403856277466,0.6922124624252319,0.0007,14,a_001;a_004;a_005;a_006;a_007;a_1a;a_2a;a_3b;a_4a;a_4b,0.12046493589878082,20000
21,a_006,0,0,0.01896239072084427,1.7776635885238647,0.7242151498794556,0.01835,367,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b,0.8943421244621277,20000
21,a_009,0,0,0.01896239072084427,1.7776635885238647,0.7242151498794556,0.01015,203,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b,0.759989321231842,20000
21,a_010,0,0,0.01896239072084427,1.7776635885238647,0.7242151498794556,0.0075,150,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b,0.6807087063789368,20000
21,a_012,1,0,0.01896239072084427,1.7776635885238647,0.7242151498794556,0.00115,23,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b,0.3933618366718292,20000
21,a_3a,0,0,0.01896239072084427,1.7776635885238647,0.7242151498794556,0.00095,19,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b,0.1836467832326889,20000
21,a_5a,1,0,0.01896239072084427,1.7776635885238647,0.7242151498794556,0.02475,495,a_002;a_003;a_004;a_007;a_1a;a_2b;a_3b;a_4a;a_4b,1.0023006200790405,20000
22,a_004,0,2,0.012645632959902287,2.5307369232177734,1.1846734285354614,0.0027,54,a_001;a_002;a_003;a_009;a_012;a_1a;a_2b;a_3a;a_4b;a_5a,0.7051844000816345,20000
22,a_005,1,2,0.012645632959902287,2.5307369232177734,1.1846734285354614,0.0327,654,a_001;a_002;a_003;a_009;a_012;a_1a;a_2b;a_3a;a_4b;a_5a,2.029633045196533,20000
22,a_010,0,2,0.012645632959902287,2.5307369232177734,1.1846734285354614,0.0005,10,a_001;a_002;a_003;a_009;a_012;a_1a;a_2b;a_3a;a_4b;a_5a,0.16338177025318146,20000
22,a_2a,0,2,0.012645632959902287,2.5307369232177734,1.1846734285354614,0.0027,54,a_001;a_002;a_003;a_009;a_012;a_1a;a_2b;a_3a;a_4b;a_5a,0.7965049743652344,20000
22,a_3b,0,2,0.012645632959902287,2.5307369232177734,1.1846734285354614,0.0022,44,a_001;a_002;a_003;a_009;a_012;a_1a;a_2b;a_3a;a_4b;a_5a,0.7298581004142761,20000
22,a_4a,1,2,0.012645632959902287,2.5307369232177734,1.1846734285354614,0.01,200,a_001;a_002;a_003;a_009;a_012;a_1a;a_2b;a_3a;a_4b;a_5a,1.404207706451416,20000
23,a_007,1,3,0.018397612497210503,1.75216543674469,0.8028507232666016,0.00395,79,a_001;a_003;a_005;a_006;a_1a;a_2b;a_3b;a_4a;a_4b,0.6382301449775696,20000
