split_id,donor_id,y_true,filter_id,frequency,n_cells
17,a_004,0,0.0,0.6613500118255615,20000
17,a_007,1,0.0,0.8234999775886536,20000
17,a_009,0,0.0,0.8757999539375305,20000
17,a_011,0,0.0,0.7508499622344971,20000
17,a_2a,0,0.0,0.910099983215332,20000
17,a_4a,1,0.0,0.896649956703186,20000
18,a_003,0,2.0,0.5209999680519104,20000
18,a_004,0,2.0,0.24614998698234558,20000
18,a_005,1,2.0,0.48649999499320984,20000
18,a_1a,0,2.0,0.274399995803833,20000
18,a_3a,0,2.0,0.37105000019073486,20000
18,a_4a,1,2.0,0.5950499773025513,20000
19,a_003,0,2.0,0.4744499921798706,20000
19,a_005,1,2.0,0.743149995803833,20000
19,a_006,0,2.0,0.8018999695777893,20000
19,a_2a,0,2.0,0.755899965763092,20000
19,a_2b,0,2.0,0.8499999642372131,20000
19,a_4b,1,2.0,0.5571500062942505,20000
20,a_002,1,0.0,0.6271499991416931,20000
20,a_003,0,0.0,0.625,20000
20,a_009,0,0.0,0.7240999937057495,20000
20,a_011,0,0.0,0.677049994468689,20000
20,a_012,1,0.0,0.7831999659538269,20000
20,a_2b,0,0.0,0.32729998230934143,20000
21,a_006,0,3.0,0.8053500056266785,20000
21,a_009,0,3.0,0.8348000049591064,20000
21,a_010,0,3.0,0.7563499808311462,20000
21,a_012,1,3.0,0.7773500084877014,20000
21,a_3a,0,3.0,0.8484999537467957,20000
21,a_5a,1,3.0,0.8885999917984009,20000
22,a_004,0,0.0,0.4025000035762787,20000
22,a_005,1,0.0,0.6455000042915344,20000
22,a_010,0,0.0,0.4043000042438507,20000
22,a_2a,0,0.0,0.42319998145103455,20000
22,a_3b,0,0.0,0.43869999051094055,20000
22,a_4a,1,0.0,0.5755999684333801,20000
23,a_007,1,0.0,0.8730999827384949,20000
23,a_009,0,0.0,0.8927499651908875,20000
23,a_010,0,0.0,0.8869499564170837,20000
23,a_011,0,0.0,0.8854999542236328,20000
23,a_2a,0,0.0,0.8109999895095825,20000
23,a_5b,1,0.0,0.8463499546051025,20000
24,a_003,0,2.0,0.840749979019165,20000
24,a_004,0,2.0,0.7670499682426453,20000
24,a_2a,0,2.0,0.7522000074386597,20000
24,a_3a,0,2.0,0.769849956035614,20000
24,a_4a,1,2.0,0.8034499883651733,20000
24,a_5b,1,2.0,0.830549955368042,20000
25,a_007,1,0.0,0.8867999911308289,20000
25,a_011,0,0.0,0.8450999855995178,20000
25,a_1a,0,0.0,0.7070499658584595,20000
25,a_2b,0,0.0,0.9200999736785889,20000
25,a_3b,0,0.0,0.8219499588012695,20000
25,a_4b,1,0.0,0.7623999714851379,20000
26,a_003,0,1.0,0.78125,20000
26,a_004,0,1.0,0.8342999815940857,20000
26,a_007,1,1.0,0.7282999753952026,20000
26,a_010,0,1.0,0.7459499835968018,20000
26,a_3b,0,1.0,0.8395499587059021,20000
26,a_4a,1,1.0,0.8561499714851379,20000
27,a_001,1,2.0,0.41064998507499695,20000
27,a_006,0,2.0,0.44849997758865356,20000
27,a_011,0,2.0,0.3234499990940094,20000
27,a_2b,0,2.0,0.31564998626708984,20000
27,a_3a,0,2.0,0.22509999573230743,20000
27,a_5b,1,2.0,0.3106499910354614,20000
28,a_003,0,2.0,0.6955499649047852,20000
28,a_004,0,2.0,0.849049985408783,20000
28,a_3a,0,2.0,0.8025999665260315,20000
28,a_3b,0,2.0,0.7949000000953674,20000
28,a_4b,1,2.0,0.7194499969482422,20000
28,a_5b,1,2.0,0.880299985408783,20000
29,a_004,0,0.0,0.5407499670982361,20000
29,a_009,0,0.0,0.8614499568939209,20000
29,a_012,1,0.0,0.6965000033378601,20000
29,a_2b,0,0.0,0.7990999817848206,20000
29,a_3b,0,0.0,0.788349986076355,20000
29,a_5b,1,0.0,0.8776499629020691,20000
30,a_004,0,2.0,0.4962499737739563,20000
30,a_005,1,2.0,0.7171499729156494,20000
30,a_007,1,2.0,0.7432000041007996,20000
30,a_1a,0,2.0,0.40514999628067017,20000
30,a_2b,0,2.0,0.6519500017166138,20000
30,a_3a,0,2.0,0.5391499996185303,20000
31,a_001,1,1.0,9.999999747378752e-05,20000
31,a_003,0,1.0,0.0,20000
31,a_004,0,1.0,4.999999873689376e-05,20000
31,a_007,1,1.0,4.999999873689376e-05,20000
31,a_010,0,1.0,0.00024999998277053237,20000
31,a_1a,0,1.0,0.0,20000
32,a_003,0,3.0,0.7896999716758728,20000
32,a_009,0,3.0,0.9335999488830566,20000
32,a_011,0,3.0,0.8646499514579773,20000
32,a_012,1,3.0,0.8819999694824219,20000
32,a_3a,0,3.0,0.7457000017166138,20000
32,a_4a,1,3.0,0.8923499584197998,20000
33,a_007,1,4.0,0.9235000014305115,20000
33,a_009,0,4.0,0.9509499669075012,20000
33,a_011,0,4.0,0.8685999512672424,20000
33,a_2b,0,4.0,0.9447999596595764,20000
33,a_3a,0,4.0,0.9030999541282654,20000
